id,label
0,3
1,2
2,3
3,5
4,6
5,5
6,0
7,6
8,4
9,6
10,6
11,3
12,3
13,6
14,4
15,3
16,3
17,6
18,0
19,0
20,0
21,3
22,6
23,4
24,4
25,5
26,3
27,6
28,0
29,5
30,4
31,5
32,6
33,3
34,2
35,0
36,2
37,3
38,0
39,4
40,5
41,5
42,4
43,3
44,0
45,4
46,6
47,4
48,3
49,3
50,0
51,4
52,4
53,4
54,0
55,6
56,5
57,3
58,4
59,2
60,3
61,4
62,4
63,4
64,5
65,0
66,4
67,2
68,0
69,0
70,6
71,0
72,6
73,4
74,5
75,3
76,3
77,4
78,3
79,6
80,0
81,3
82,2
83,3
84,3
85,6
86,5
87,3
88,3
89,5
90,6
91,6
92,4
93,0
94,2
95,6
96,0
97,3
98,5
99,4
100,4
101,3
102,3
103,4
104,4
105,3
106,5
107,3
108,3
109,4
110,3
111,3
112,3
113,4
114,0
115,3
116,4
117,2
118,3
119,5
120,0
121,3
122,2
123,6
124,3
125,2
126,2
127,3
128,2
129,6
130,3
131,3
132,3
133,4
134,0
135,3
136,6
137,0
138,0
139,2
140,2
141,3
142,6
143,2
144,6
145,4
146,4
147,4
148,4
149,4
150,3
151,3
152,4
153,4
154,3
155,4
156,0
157,6
158,4
159,5
160,4
161,6
162,4
163,2
164,6
165,4
166,5
167,0
168,0
169,2
170,4
171,6
172,4
173,3
174,6
175,4
176,6
177,6
178,3
179,2
180,4
181,6
182,6
183,2
184,6
185,3
186,4
187,4
188,4
189,2
190,5
191,4
192,4
193,2
194,5
195,6
196,4
197,4
198,3
199,6
200,4
201,5
202,3
203,4
204,3
205,4
206,4
207,6
208,3
209,6
210,6
211,4
212,0
213,6
214,6
215,6
216,3
217,5
218,4
219,5
220,5
221,4
222,0
223,6
224,4
225,4
226,0
227,5
228,4
229,2
230,0
231,6
232,6
233,3
234,0
235,0
236,3
237,3
238,6
239,3
240,5
241,5
242,2
243,3
244,6
245,0
246,0
247,4
248,3
249,6
250,3
251,0
252,5
253,6
254,4
255,6
256,5
257,6
258,3
259,6
260,5
261,0
262,6
263,2
264,5
265,4
266,2
267,2
268,3
269,5
270,3
271,3
272,3
273,6
274,6
275,6
276,4
277,0
278,5
279,0
280,0
281,5
282,0
283,4
284,0
285,0
286,4
287,6
288,3
289,5
290,4
291,3
292,3
293,2
294,3
295,3
296,4
297,6
298,0
299,0
300,5
301,4
302,4
303,3
304,5
305,3
306,2
307,3
308,0
309,5
310,3
311,3
312,3
313,6
314,2
315,6
316,0
317,6
318,0
319,0
320,4
321,4
322,0
323,2
324,2
325,4
326,6
327,6
328,0
329,6
330,3
331,6
332,5
333,0
334,4
335,3
336,4
337,6
338,0
339,3
340,3
341,0
342,3
343,3
344,0
345,3
346,6
347,3
348,0
349,4
350,0
351,6
352,0
353,4
354,3
355,5
356,6
357,2
358,2
359,3
360,3
361,5
362,5
363,6
364,4
365,5
366,3
367,4
368,0
369,3
370,3
371,0
372,4
373,3
374,4
375,5
376,4
377,4
378,3
379,6
380,4
381,3
382,0
383,2
384,5
385,3
386,3
387,5
388,0
389,2
390,4
391,5
392,6
393,3
394,6
395,6
396,3
397,2
398,4
399,3
400,3
401,4
402,6
403,4
404,4
405,3
406,4
407,3
408,0
409,3
410,2
411,0
412,4
413,6
414,6
415,0
416,5
417,0
418,3
419,3
420,2
421,4
422,0
423,5
424,5
425,4
426,6
427,6
428,4
429,6
430,3
431,3
432,6
433,3
434,4
435,6
436,0
437,0
438,4
439,3
440,3
441,6
442,4
443,0
444,3
445,2
446,6
447,0
448,4
449,6
450,4
451,2
452,0
453,5
454,2
455,6
456,3
457,0
458,3
459,2
460,3
461,0
462,3
463,6
464,3
465,4
466,2
467,2
468,3
469,5
470,4
471,0
472,2
473,5
474,3
475,5
476,0
477,5
478,4
479,6
480,4
481,3
482,4
483,5
484,4
485,4
486,6
487,3
488,6
489,0
490,0
491,4
492,5
493,2
494,2
495,0
496,4
497,0
498,0
499,6
500,4
501,0
502,3
